Plot2,,,
Angular Displacement (deg),Motor Torque2 (pound_force-inch),,
0,1.452517233,,70.9
2.4,1.274359513,,73.3
4.8,1.074290352,,75.7
7.2,0.913970294,,78.1
9.6,0.767094911,,80.5
12,0.630739785,,82.9
14.4,0.502772795,,85.3
16.8,0.381603353,,87.7
19.2,0.266036875,,90.1
21.6,0.1551715,,92.5
24,0.048324548,,94.9
26.4,0.055020631,,97.3
28.8,0.155253624,,99.7
31.2,0.252665907,,102.1
33.6,0.34747264,,104.5
36,0.439829274,,106.9
38.4,0.529844344,,109.3
40.8,0.617589439,,111.7
43.2,0.703107062,,114.1
45.6,0.786416876,,116.5
48,0.867520746,,118.9
50.4,0.946406828,,121.3
52.8,1.023052939,,123.7
55.2,1.097429371,,126.1
57.6,1.169501235,,128.5
60,1.239230492,,130.9
62.4,1.306577674,,133.3
64.8,1.371503419,,135.7
67.2,1.433969806,,138.1
69.6,1.493941562,,140.5
72,1.551387146,,142.9
74.4,1.606279756,,145.3
76.8,1.658598232,,147.7
79.2,1.708297174,,150.1
81.6,1.755462072,,152.5
84,1.799999726,,154.9
86.4,1.841950649,,157.3
88.8,1.881332921,,159.7
91.2,1.918135829,,162.1
93.6,1.952511209,,164.5
96,1.984391361,,166.9
98.4,2.013871074,,169.3
100.8,2.04101617,,171.7
103.2,2.065901089,,174.1
105.6,2.088548103,,176.5
108,2.109161317,,178.9
110.4,2.12787538,,181.3
112.8,2.144564034,,183.7
115.2,2.159474355,,186.1
117.6,2.172673011,,188.5
120,2.184245636,,190.9
122.4,2.194271016,,193.3
124.8,2.202816558,,195.7
127.2,2.20993533,,198.1
129.6,2.215664052,,200.5
132,2.221386819,,202.9
134.4,2.222933258,,205.3
136.8,2.224590813,,207.7
139.2,2.22471666,,210.1
141.6,2.223398982,,212.5
144,2.220484608,,214.9
146.4,2.215909236,,217.3
148.8,2.209572375,,219.7
151.2,2.201364664,,222.1
153.6,2.191172441,,224.5
156,2.178879907,,226.9
158.4,2.164371911,,229.3
,,,
,,,
,2.22471666,,
